AccountNumber BranchId GroupIds
ACC067f 476 22,44,14,10,17,20,18
ACC0573 397 12,15,42,52,16,27,5,53,6,39
ACC0649 146 25,10,30,24,35,42,36,23,32,22,34,27,8,51,19,15,4,5,28
ACC05ac 537 7,49,15,16,10
ACC09 39 29,40,5,39
ACC0ce 515 27,10,38,28,42,51,13,21,49,44,25,50,26,36,17,54,16,23,43,34,15,46,52
ACC054e 111 37,15,20,40,54,32,50,17,36,6,46,19,4
ACC02e 491 28,4,38,17,44,20,6,10,24,31,26,5,21,34,47,53,43,49
ACC03f4 113 30,24,54,44,39,46,23,17,29,14,25,28,21,2,0,5,12,27,26,7
ACC052 125 15,5,50,19,31,8,21,0,22,30
ACC04e 77 18,12,0,42,20
ACC074 31 9,52,22,29,40,23
ACC06d9 561 43,17,24,45,19
ACC05bf 431 10,31
ACC01b0 41 2,37,25,6,32,51
ACC022f 112 52,8
ACC062 172 30,53,1,25,50,26,40
ACC095 5 22,26,38,1,15,39,21,29,45
ACC011f 88 50,20,42,11,13,30,26,41,7,1,39,43,51,10,48,9,54,0,46,23,12,19,53
ACC079c 377 32
ACC0249 183 40,20,31,25
ACC0723 197 20,52,50,10,54,6,48,53,18
ACC0444 512 28,7,13,6,52,1,22,8,32,45,47,15,16,34,50,39,23
ACC05c 363 27,4,40,53,16,36,33,32,7,25,52,45,48,29,5,42
ACC03da 325 43,12,19,32,27,36,21,6,14,30,34,1,44,51,7,28,47,54,10,20,8,15,25,4
ACC06c0 591 13,52,51,30,0,26
ACC02c6 207 12,21,47,33,17,50,9,20,29
ACC04f8 582 54,42
ACC01ca 45 6,19,0,12,16,50,33,13,53,32,39,27,30,17,20,44,37,3,28
ACC01a2 124 12,22,42,54,8,36,29
ACC01f0 593 14,33,4,34,38,46,27,30,15,5,16,25,52
ACC0275 74 6,42,9,45,51,37,15,41,2,52,50,24,38,8,18,53,5
ACC0424 333 17,2,30,40,12,20,49,6,13,52,45,28,31
ACC0281 555 30,32,25,27,26,1,9,17,52,43,15,3,33
ACC0100 154 16,30,7,38,43,26,42,29,12,14,53,31,23,19,35,28,36,24
ACC035d 6 52,13,43,38,39,46,18,37,32
ACC0626 379 28,42,26,31,43,9,51,40,33,10,39,36,5,7,13,16,21,44,52,20,2,32
ACC05e0 208 11,50,33,23,40,32,38,43,41,4,42,34,24,5,53,48,25
ACC041d 15 17,5,30,52,8,32,9,41,20,3,46,38,37,22,16,21,12,45,10,51
ACC061b 405 6,31,21,32,10,43,44
ACC0259 114 6,12,30,39,48,2,9,46,5,27
ACC0171 361 21,9,7,43,36,29,27,38,53,37,32,3,50,44,13,49,52,30,46
ACC0fb 134 9,2,19
ACC03cb 246 40,19,8,27,29,53,16,21,5,51,26,32,44,0,48,3,52,12,13,15,11,2,18,17
ACC06 263 35,5,50,22,19,18,14,11,42,49,30,28,48,40,16,13,38
ACC0772 212 6,44,12,26,19,2,0,34,27,47,51,33,38,50,3,46,10
ACC03a9 346 52,50,25,19,32,38,34,3,54,1,16,31,53,29,22,5,40,43,15,48,41
ACC05fc 11 23,49,18,12,5,46,53,2,8,26,22,19,20,14,45,47,40,6,52,17,13,11
ACC0133 305 24,31,52,27,28,30,20,25
ACC0513 547 16,47,38,12,18,19,53,10,27,2,22,33,43,4,29,25,7,9,32,5
ACC058c 326 53,24,49,11,31,35,13,34,7,45,21,9,33,14,12,44,32,30,20,23
ACC0770 270 1,12,9,6,17,4,21,43,39,24,38,54,52
ACC070d 54 17,32,21,28,45,22,3,12,47,23,14,11,10,5,53
ACC07c3 517 17,44,8,42,3,12,54,38,0,40,49,13
ACC0679 382 2,9,18,14,8,34,28,51,19,7,25,35,37,45,24,16,20,53,23,11,41,15,22,26
ACC0f3 579 51,11
ACC04eb 217 5,51,27,4,0,28,19,47,50,45,37,10,48,52,1,42,32,12,34,18,13,43,40,39
ACC0601 510 6,47,9,10,0,14,5,50
ACC047f 551 43,47,46,49,18,15,41,11,29,32,13,21,0,7,14
ACC078 69 24
ACC06d0 229 3,21,26,48,42,52,51,18,29,24
ACC02f2 524 10,34,32,42,18,17,6,26,30,38,35,29
ACC040 473 45,53,27,0,5,1,47,15,30,3,52,37,18,48,28,41,4,23
ACC0764 148 48,52,42,16,24,6,51,31,38,14,32
ACC03ea 15 25,20,45,8,31,2,16,43,50,15,19,48,51,35,29,32,24,47,14
ACC053d 156 40,16,26,45,46,6,19,32,42,25,49,20
ACC030 554 32,8
ACC020 536 41,32,2,21,24,5,36,48,6,33,26,13
ACC03dd 589 46,17,8,35,50
ACC06b9 7 53,54,40,22,44,37,46,25,50,8,9,7,33,21,4,12,41,43,20
ACC04f1 324 39,12,26,7,27,20,30,14,19,34,21,5,46,33,32,51,23,43,8,54,25,28,22
ACC0579 119 28,54,14,39,25,36,16,6,38,50,26,0,21,8,41,9,43,35,30,23,46
ACC073d 520 6,50,33,24,4,54,28
ACC02fd 155 3
ACC013f 580 36,28,15,13,33,1,4,12,29,5,22,23,3,10,49,37,54,34,18,43,30,2,47
ACC03c6 54 43,28,9,21,24
ACC0582 484 28,35,51
ACC0511 85 53,45,16,36,9,29,50,31
ACC0586 227 38,31,36,50,19,30,48,5,25,24,2,44,51,54,37,16,39,27,49,3,32,10
ACC02b8 291 18,36,12,21,43,8,1,30,17,23,27,11,39,9,50,2
ACC0617 518 21,33,11,50,3,51,35,30,20,8,24,27,10,29,0,44,18,22
ACC06af 186 15
ACC05a3 117 21,46,28,26,23,4,7,30,41,17,27,52,42,22
ACC064d 528 32,4,7,1,12,35
ACC022e 401 17,35,26,33,46,39,2,48,34,50,37,27,54,23,43,36,10,29,32,47
ACC0477 109 10,7,54
ACC06be 86 11,48,2,40,16,47,23,52,30,27,7,20,10,4,51,37,50,8,28
ACC07b6 543 30,46,10,18,24,54,33,53,22,29,0,19,32,1
ACC01e5 114 6,23,16,25,53,18,2,28,17,4,49,22,40,37,0,46,35,10,41,45
ACC05f6 152 54,14,5,8,19,44
ACC0277 32 21,1,26,40,51,10,35,17,41,45,43,27,13,20
ACC0376 119 25,50,22,45,46,39,26,33,38,6,0,21,41,17,37,20,30,36,44,23,49,51,27,48
ACC017d 121 0,10,21,24,28,8,31,23,3,9,30,37,12,35,14,44,40,5,42,49,38,13,34,48
ACC01c 333 47,53,41,12,1,32
ACC0700 51 34,35,24,48,20,7,12,51,42,27,38,37
ACC0562 485 3,54,39,24,29,46,33,49,16,40,17,48,25,5,44,34,21,2,38,47,41,51,27,42
ACC0319 385 43,22,49,39,42,29,10,27,31,47,40,21,30,20,33,25,5,28,35,3
ACC0641 68 1,45,51,18,40,2,34,52,4,5,27,20,49,16
ACC0210 402 4,28,39,47,50,30,13,48,0,20,2,25,31,36,7,35,1,5,8,38
ACC05b0 51 11,41,33,12,0,2,34,25,27,32,23,8,51,50,44,29,9,16,36,38,28
ACC0341 559 36,6,3,11,13,18,38,54,45,8
ACC0584 263 39,12,16,2,21,27,18,25,50,51,24,13,44,49,26,9
ACC0656 139 28,12,38,41,16,7,29,30,17,21,2,27,9,48,50,39,23,19,3,15
ACC0510 57 52
ACC017b 217 6,23,29,17,46,28,52,8,42,37,40
ACC05a5 81 39,54,21,31,5,7,45,23,16,20,11,28,50
ACC06ac 464 54,27,46,39,7,51,35,3,40,25,50,26,15,29,0,48,47,44,14,8,23,34,32,24
ACC0326 214 37,25,48,54,14,29,0,5,40,45,17,2,32,23,15,20,33,3,39
ACC04e0 204 1,25,6,38,50,0,7,12,19,48,36,14,49,53,18,9,23,21,43,8
ACC078e 479 12,44,17,34,45,25,36,16,41,29,53,20,28,31,39,50
ACC040d 342 2,52,23,3,35,34,19,49,28,8,12,40
ACC06a5 353 52,31,33,36,6,42,39,10,17,28,38
ACC076b 241 53,34,7,26,29
ACC02b5 193 25,0,45,50,5,22,23,8,13,31,14,49,51,11,53,37,30,12
ACC0248 208 47,41
ACC063a 228 42,50,49,52,0,17,27,18,14,31,7,33
ACC05b7 140 22,40,24,14
ACC06f9 34 51,26,34,19,6,14,11,23,52,48,45,31,1,33,53,41,5
ACC030d 123 20,49,35,37,32,3,26,53,54,40,46,28,48,21,22,4,52,30,15,39
ACC065e 157 32,51,48,25,13,9,26,5,47,35,19,34,41,45,46,16,8,20,2,21,4,33,38,43
ACC06dd 587 22,32,27,23,17,29,13,48,5,1,36,12,15
ACC0403 327 18,44,29,24,25,39,12,38,45
ACC056c 574 24,48,44,29,21,5,31,8,38,47,49,37,25,1,43
ACC07a1 24 47,14,19,53,11,28,43,23,38,37,21,20,17,42,52
ACC045b 320 17,2,4,7,53,6,36,33,5,35,11,20,52,13,45,9,8,38,22,26,51,34
ACC068d 410 0,54,12,38,17,8,23,29,1,47,43,32,52,44,24,5,35,37,31,45,13,7,2
ACC0239 76 12,25,40,1,35,6,36
ACC01e4 259 9,40,21,22,16,36,24,44,50,33,28,13,2,18,47,42,46,17,41,30,20,7
ACC094 566 44,17,1,11
ACC0684 25 53,3,46,44
ACC0132 363 18,12,42,7,13,1,53,28,14,46,8,11,27,43
ACC049d 79 25,38,32,19,30,26,24,28
ACC051c 128 23,36,37,19,26,49,14,27,24,34,16,17,35,12,42,0,43,9,32,54,46,45
ACC08 351 45,20,11,35,51,18,25,14,50,46,19,44,12,4,7,49
ACC0443 168 2,12,43,13,4,25
ACC0694 333 19
ACC0150 337 8,13,33,0,44,12,39,2,50,29,30,45,38,46,36,21,1,43,52,3,34,25
ACC0590 190 32,48,15,44,1,14,37,35,40,5,0,7,31,49,6,42,39,29,27,51,19,43
ACC02ae 200 34,3,16,53,35,48,41,39,1,4,21,30
ACC0701 320 15
ACC072b 520 25,16
ACC01a8 591 0,47,51,54,11,13,6,9,52,41,21,14,26,33,29,8,30,28,2,49
ACC015e 534 28,34,30,31,51,10
ACC06cf 505 6,33,17,26,18,41,13,16,10,45,28
ACC02d5 572 24,5,6,42,17,10,44,54,9,20,16,41,53,46,1,36,34,2,27
ACC06fc 278 17,46,15,18,47,10
ACC0732 595 53,34,38,46,35,21,41,50,17,13,37
ACC0642 225 52,44,7,33,19,5,16,26,20,22,46,18,10,17,34,31,41,53,43,4,14,45,12
ACC0b8 44 50,39,46,54,21,45,44,25,11
ACC0567 281 48,15,1,36,45,0,16,12,7,41
ACC0607 37 8,15,51,3,45,33,31,2,21,26
ACC071d 367 15,34,50,0,20,30,4,45,19,33,54,14
ACC0674 232 50,31,9,24,15,53,30,44,54,36,35,26,10,33,20,22,11,7,37
ACC0272 371 16,34,47,5,24,10,41,7,37,54,3,53,52,26,33,30,15,22,13,27,48,31,46
ACC0637 29 36,52,42,45,31,20,26,44,49
ACC02e0 412 20,41,17,29,38,44,16,53,43,3,6,2,30,46,48,34,51,45,49,54
ACC04bc 199 26,2,30,29
ACC0260 545 13,20,8,2,32,14,50,30,36,15,9,49,29
ACC0233 76 9,49,29,7,39,54,25,14,42,40,5,11,38,37,20,44,32,46,48,31,8,23
ACC0620 573 29,13,40,23,27,46,11,15,22,18,19,53,43,35,33,36,31,6,34,16,9,45
ACC0c0 179 4,3,38,44,40,43,45,28,47,12,1,30,15,7,23,6
ACC066 87 7,49,38,32,42,51,8,33,27
ACC0166 19 31,4,50,12,28,6,17,41,29,42,39,3,27,48,22,43,15,54,47,20
ACC0ad 415 43,32,23,53,35,13,24,52,10,6,31,37,2,46,20,1,36,4,7,9,39
ACC050d 171 31,18,11,4,47,17,8,1,16,50,54,13,14,43,28,35,9,51,10,22,39
ACC0221 389 40,49,12,30,16,22,54,13,42,20,41,4,8,33,44,17,37,43,6,11,36,46,38
ACC02ad 112 8,14,32,2,20,7,54,39,10,37,50,35,12,51,13,53,24,46,31
ACC07b4 177 30,24,40,8,4,22,50,47
ACC08a 343 12,52,41,15,28,13,5,33
ACC04bb 252 2,16,44,42,31,46,29
ACC02df 197 19
ACC0784 464 16,18,5,53,33,9
ACC0465 534 32,8,26,16,37,9,3
ACC05d7 78 4,21,37,6,23,53,39,5,44,7,50,29,25,42,30
ACC05f7 145 37,7,44,49,21,38,6,33,45,18,4,22,31,42,17,20
ACC0543 452 11,27,25,54,24,4,29,34,26,36,20,48,5,23,16,42,46,12,51,35,2,38,41
ACC0349 297 7,52,30,9,11,51,53,27,43
ACC054 74 25
ACC0526 568 42,51,34,28,6,5,54,37,43,23,9,29,33,8,7,13,38,44,52,27,19,17,0
ACC02bd 71 14,9,28,13
ACC087 438 45
ACC056b 258 32,2,3,49,45,29,41,10,7,40,28,25,51,52,8,33,15,47,48,39,42,53,11
ACC03ca 497 9,47,26,11,27,36,22,34,23,46,12,18,41,3,1,37,20,13,29,45,17,6,0
ACC04c4 487 52,37,53,25,3,40,17,18,36,45,23,11
ACC0315 553 12,48,46,40,18,1,21,23,42,16,50,30,0,4,6,33
ACC0705 507 4,21,16,41,26,8,24
ACC0498 323 21,30,29,52,47,54,20,50,51,25,15,16,6,0,39
ACC0263 416 47,21,23,13,25,35,2,32
ACC025b 568 32
ACC0356 310 32,21,50,31,2,34
ACC0520 574 50,31,35,27,3,0,1,16,41
ACC0399 272 35,17,19,44,38,11,1,29,26
ACC0157 66 23,3,17,18,10,20,38,11,22,6,30,53,44,52,35,29,45
ACC071f 284 13,10,52,11,42,34,49,47,29,14,30,35
ACC02f6 545 43
ACC0243 31 21,34,15,44,50,0,31,2,13,9,5,42,36
ACC02e6 40 2,39,5,37,44,50,22,43,28,33,9,6
ACC0404 295 20,30,15,45,32,38,4,14,19
ACC061a 408 2,12
ACC053b 231 15,4,3,28,24,16,25,13,39,42,43,33,34,38,6,40,20,49
ACC079f 142 53,50,13,45,28,48,3,8,23,12,17,41,31,0
ACC0760 248 49,27,16
ACC032e 503 28,10,9,13,0,45,33,17,1,7,50,26,5,44,21,48,46,47
ACC060d 111 37,35,31,16,39,42,36,7,13,46,18,2,41,28,20,52,38,10,44,25,33,29,24,11
ACC0d8 105 27,33,9,44,17
ACC03d5 478 23,8
ACC043d 291 52,5,23,38
ACC0786 186 40,34,53,30,37,16,28,43,33,51,45,22
ACC03fe 244 39,6,32,52,28,30,42,16,44,8,27,24,1,33,25,12,48,34,13,7,2
ACC06c2 100 13,5,27,51,3,30,50,2,54,32,41
ACC067a 511 27,47,39,5,28,21,6,9
ACC0192 589 45,48,46,6,23,35,25,30,1,41,43,47,44,14,40,32,24,36,18,31,22,33,17
ACC07c 61 51,49,24,41,27,14,23,32,18,3,5,4,22,16,13,21,28,30
ACC0419 236 15
ACC062f 453 47,51,29,19,54,31,8,26,14,42,43,7,2,20,39,44
ACC06ad 485 10,16,51,27,28,7,13,6,41,34,36,4,53,11,32,19,42,40,48,20,46
ACC02ea 94 0,34,26,15,1,27,39,17,19,28,12,40,23,21,11,53,38,45,20,7,36,48,54,31
ACC0583 541 37,39,48,40,8,16,36
ACC0718 374 34,10,36,37,53
ACC05cc 342 44,18,42,30,16,53,45
ACC0a4 337 41,7,34,44,43,13,2,32,27,6,53,23,24,46,12,4,11,31,37,47
ACC044a 59 19,30,15,20,43,37,39,51,33,36,41,0,3,14,1,29,49,32,12,21,53,45
ACC05d1 84 18,53,14
ACC0203 185 50
ACC05c0 150 38,19,33,27,40,39,34,47,49,17,35,23
ACC0307 240 49,9
ACC0427 437 24,18,10,16,26
ACC0720 83 50,40,31,12,3,34,9,29,37,16,1,43,7,32,28,30,35,45,54
ACC077c 303 29,26,51,52,34,14,0,20,50,43
ACC067e 363 37,52,53,45,51,25,23,21,48,8,14,12
ACC065f 317 53,36,49,40,27,7,3,26,30,45,18,20,8
ACC0751 520 53
ACC0662 446 41,9,52,32,8,50,17,42,47,24,26,13,29,4,45,37,51,23,19,20
ACC03dc 42 13,39,40
ACC0375 127 27,10,11,3,25,50,2,5,9,36,37,38,47,4
ACC0548 236 18,54,12,10,0,11
ACC044d 374 1,53,45,18,14,15,6,51,43,33,20,44,34,23,12,40,36,0
ACC0d2 42 12,23,7,51
ACC0a2 313 0,30,22,8,34,13,28,54,42,12,21,9,23,31,37,29
ACC057b 434 10,20,13,45
ACC0535 170 3,14,2,30,29,47,31,6,16,43,28,45,48,21,34
ACC05ec 488 24,40,2,48
ACC025d 466 53,50,31,27,35,9,14,23,1,22,4,46,10,51,44,32
ACC0238 416 18,28,15,10,29,21,0,5,1,7,27,2,24,3,47,45,48,4,37,16
ACC07a 581 3,53,17,42,4,26,20,43,2,40,18,41,8,12,52,31,22,48,13,1,11,23
ACC06bc 64 26,13,21,48,3,43,37,5,49,30,22,31,25,23,12,7,39
ACC0738 136 31,2,32,34,41,24,12,21,8,22,53,13,9,30,38
ACC067d 263 51,40,11,49,39
ACC0647 305 26,51,6,37,2,32,40,19,44,45,50,35,8,48,27,15,12,25
ACC0454 435 21,2,20,19,49,3,4,51,34,46,14,16,41,12,36,39,52,37,1
ACC04f5 537 52,14,15,41,23,20,11,5,28,22,32,40,27,50,12,36,29,21,8,49,39,1
ACC097 594 17,25,7,47,41,40,28,21,5,49,45,31,19
ACC03b7 303 14,50,33,46,54,43,21,7,0,26,17
ACC0c9 596 28,45,15,6
ACC0712 506 20
ACC02d8 336 52,45,18,5,42,2,30,50,20,12,10,37,41,40,46,43,14,8,28,9,34,11,33
ACC01e2 230 38,19,46,22
ACC030c 430 27,9,1,20,51,43,46,50,47,49,23,41,13,15,17,53,29
ACC0660 78 22,46,36,48,33,17,1,25,34,10,31,20,26,43,42,7,18,3,4,47
ACC0640 172 6,38,40,27,12,26,41,49,43,16,8,21,29
ACC021 229 28,33,39,0,46,22,54,5,51,18,11,38
ACC05fb 363 28,52,32,34,27,20,47,48,49,6,54,40,43,16,50,18,42,39,30,23,44
ACC01bd 469 36,42,4,21,29,0
ACC0247 423 25,50,19,9,31,53,52,34,32,36,48,8,45,47,12,42
ACC0267 210 46,6,1,7,51,30,15,45,48
ACC07a7 43 42,3,15,50,10,25,49,16,53,27,33,9,36,21,1,19,2
ACC0793 544 26,15,19,8,2,35,11,45,29,13
ACC032c 78 42,44,52,34,28,3,5,21,40,18,41,25,35,20,51,43,1,38,12,11,39
ACC02a6 547 2,4,17,40,7,21
ACC069c 127 41,45,44,11,25,53,36,52,12,50,0,24,35,18,19
ACC079d 171 12,24,27,53,42,48,15,44,0,35,33,46,34,9,28,19
ACC08b 375 40,5,36,37,49,42,39,27,53,2,47,54,1
ACC04dd 204 7,5,30,12,33,24,27,6,19,25,45,50,26
ACC0658 123 24,6,21,45,13
ACC06ef 366 34,20,18,47,3,38,27,11,46,10,51,30,31,8,14,32,49,43
ACC0144 149 11,22,28,47,46,49,36,13,15,6,2,31,39,8,43,26,30,12,4,50
ACC093 118 24,20,48,13,45,15,17,46,4,23,7,32
ACC038c 462 30,20,32,54,7,48,47,2,10,18,4,43,46,14,28,5,19
ACC053c 507 32,47,50,6,52,45,10,28,15,43,36,13,9,24,19,23,17,5
ACC0187 172 22,13,2,15,42,28,10,8,50,46,3,37,47,52,7,39,30,17,33,32
ACC01cf 439 14,32,11,39,16,4,51,23,24
ACC03e6 399 12,51,37,34,52,31,16,41,11
ACC05fd 530 9,41,49,26,53,34,4,47
ACC0136 332 32,45,25,5,30,23
ACC07a0 511 16,15,18,54,43,38,5,28,50,52,24,12,34,0,7,11,6,13,8,48,21,44
ACC0396 488 5,27,16,6,51
ACC02b7 426 52
ACC03e0 547 19,12,34,11,13,17,33,32
ACC01e 314 27,12,39,25,46,48,28
ACC04f9 518 18,4,12,27,39,43,51,35,47,21,36,41,9,13,16
ACC02aa 30 52,49,33,46,14,19,16,10,34,13,18,9,45,17,24,0,28,2,29,25
ACC0201 288 21,7,41,47,11,39,26
ACC02d3 215 10,34
ACC028f 242 29
ACC066f 260 54,17,30,28,0,12,6,3,47,1,41,52,29,35,8,9,20
ACC0410 107 46,51,11,30,16,38,5,27,37,45,47,33
ACC0521 341 20,4,33,42,1,25,48,29,31,15,39
ACC06f6 468 50,28,36,14,45,10
ACC037e 51 45,53,37,33,48,43,12,20,30,52,29,34,50,36,11,47
ACC053e 60 35,1,38,42,25,20,18,22,41,36,47,10,43,37,50,14,3,31,33,54,7,21,11
ACC07ca 259 0,9,16,38,42,32,7,34,50,5,4,39
ACC04a5 274 33,21,24,12,5,10,51,1,29,26,7,8,32,14,42,25,28,41,13,19,43
ACC05df 70 13,49,1
ACC068e 377 14,34,3,8,43,1,47,46,27,13,48,45,28
ACC038d 251 20,45,30,39,1,13,27
ACC0141 368 11,17,27,23
ACC043b 206 47,0,37,10,53,48,23,31,26,11,43,30,33
ACC046e 299 0,35,19,38,13,40,25,29,15,36,5,11,12,21,42,24,22,28
ACC0351 566 6,1
ACC0655 451 41,46,28,23,9,52,38,15,14,54,3,37,45,1,53,12,6
ACC06db 189 29,52,54,30,32,12,16,3
ACC06a1 236 2,37,19,39,18,22,33
ACC0121 261 15,12,28,13,24,45,22,52,1,49,54,32,2,51,37,50,36,19,9,42,47
ACC075f 235 26,25,32,50,10,14
ACC0c5 370 20
ACC0d5 240 28,3,19,34,18,15,0,11,25,14,38,36,26,17,45,8,47,21,7,40
ACC0db 339 8,53,23
ACC0618 110 11,29,46,21,48,16,52,17,6,5
ACC0364 457 46,40,30,8,0,54,32,12,16
ACC0429 514 40,43,11,31,37,35,36,41,29,38
ACC0726 124 22,18,32,21,24,37,5,36,28,38,40,53,29,23,30,31,46,39,4,17,9,33,1,51
ACC013a 385 35,41,17,45,16,10,19,44,54,6,3,11,30,12
ACC0d7 401 22,27,26,19,48,43,7
ACC014f 267 43
ACC0e3 387 44,0,50,22,12,20,48,40,9,33,43,34,31,38,11,6,3,29,54,10,14,46,51
ACC0317 517 37,4,27,6,25,30,52,1,9,44,31,38,42,46,14,7,45
ACC019 539 48
ACC058 102 31,53
ACC04d1 233 8,38,34,27,45,49,28,37,17,52,12
ACC0463 141 0,44,23
ACC049f 124 7,53,30,20,8
ACC01ad 114 5,14,17,47,4,23,34
ACC05ad 183 34
ACC047e 88 22,13,9,30,6,17,37,38
ACC0736 289 15,51,16
ACC0151 130 25,40,16,22,54,14,45,23,15,0,8,34,51,48,27,20,50,18,52,7,24
ACC03ef 21 47,42,7,5,9
ACC0230 315 26,48,39
ACC01af 354 5,23,50,16,47,31,49,9,51,48,43,53
ACC0d4 303 37,5,50,39,49,41
ACC0147 299 49,3,44,38,14,46
ACC0370 103 10,38,30,48,26,21,51,27,15,5,52,7,34,46,39,14,0,35,50,2,47
ACC03a2 96 11,17,30,4,51,42,9,44,5,18,33,54,0
ACC01e0 385 37,49,3,36,25,9,39,2,51,45,44,54,7
ACC032 143 4,21,22,31,41,7,42,14,47,54,29,19,45,23,43,37,40,34,38,26,33,16,2
ACC0251 590 7,31,39,43,20,28,4,9,1,10,0,45,2,49,3,37,21,46,12,19
ACC05e 305 19,35,32
ACC01b3 522 36,7,51,26,2,5,54,31,19,41,47,3
ACC0196 139 27,7,23,48,0,3,8,49,24,17,19,18,2,43,44,5,15,22,6,33,51,9,53
ACC0165 137 24,41,36,27,23,6,17,10,34,3,44,29,22,1,9,0,13,47
ACC064c 29 51,25,22,30,21,39
ACC01b5 351 36,5,42,2,8,14,35
ACC04ed 592 51,49,31,46,19,0,44,7,13,25,37,43,16,26,4,18,47,32,11
ACC05a6 40 43,8,3,15,14,32,4,38,20,1,9,10,2,46,5,13,53,18
ACC035b 2 38,15,20,50,14,2,23,0,19,37,35,40,17,33,5,39,9,44,52,27,24
ACC0558 480 1
ACC04b5 544 6,33,25,49,10,52,14,23,28,36,54,11,29,12,41
ACC02fb 127 47,40,2,14,1,30,34,29,31,45,24,15,50,18,52,54,11
ACC0112 104 43,42,24,54,53,51,32,35,31,41,33,38,17,29,40,34,20,26,27,37
ACC0b4 199 40,0,35,44,41,34
ACC0158 597 20,47,51,21,0,44,53,32,11
ACC0501 430 23,44,17,2,19,24,26,12,31,49,10,16,52,22,9,6
ACC01d0 20 32,15,5,8
ACC03f7 565 46,26,13,3,50,12,51,2,8,40,42,45,19,47
ACC04df 484 29,27,24,19,54,0,47,30
ACC059b 241 54,41
ACC068b 37 48,38,18,21,32,46,9,29,34,51,26,54,7,47
ACC0713 70 8,9,17,41,37
ACC011d 323 37,48,19,8,47,31,51,52,53,29,6,28,43
ACC03d4 120 21,31,27,2,11,51
ACC036f 289 36,27,39,15,40,31,4
ACC0426 561 16,2,18,3,40,11,38,48
ACC06ec 351 15,13,16,9,18,47,3,30,51,35
ACC024e 151 46,14
ACC033 138 8,21,28,15,43,31,18,11,22,45,17,44,23,40,27,6,33,46,35,50,49,48,0
ACC03af 354 49,22,24,6,35,7,45,36,10,44,17,51,14,21,12,53,46,54,31
ACC01e6 512 31,14,44,2,45,7,4,20,37,30,29,1,3,36,39,25
ACC02be 502 41,1,23,44,27,12,7,43,36,2,14,40,35,28
